name,@lat,@lon,addr:street,contact:phone,contact:website,opening_hours
Club de Pesca,-38.0006620,-57.5391980,,,,
El Palacio del Bife,-38.0006862,-57.5480614,,,,
Voulez Bar,-34.5792027,-58.4126688,,,,
Olivetti,-34.5792839,-58.4123925,,,,
Cosentina,-34.5782043,-58.4114395,,,,
Bella Italia,-34.5782460,-58.4117268,,,,
Bella Italia,-34.5777257,-58.4115849,,,,
Las Asturias,-34.6380178,-58.5047043,,,,
El Argentino,-34.6381513,-58.5033989,,,,
Avellino,-34.6405076,-58.5094119,,,,
Richmond,-28.4682029,-65.7792115,República,,,
Topsy Pizza,-28.4688083,-65.7869781,Camilo Melet,,,
,-28.4599739,-65.7571697,,,,
Wika,-28.4645408,-65.8190312,Avenida Juan Pablo II,,,"Mo-Su 00:00-18:00,20:30-24:00"
Gambrinus,-38.7215252,-62.2667422,Arribeños,,,
Justo A Riva,-38.7184530,-62.2620591,,,,
Tradiciones Argentinas,-27.0533719,-65.4021786,,,,
Casablanca Bar,-27.0535415,-65.4025637,,,,
Americano Bar,-27.0539637,-65.4011581,,,,
El Condor Bar,-27.0552532,-65.4019027,,,,
Café Belén,-27.0550077,-65.4024618,,,,
Chichi Bar,-27.0553114,-65.4017194,,,,
Oasis,-27.0552798,-65.4052466,,,,
Empanadas La Carpa de Estela Pachado,-27.0655034,-65.4005159,,,,
Empanadas El Rancho de Silvia Maidana,-27.0653978,-65.4009690,,,,
Empanadas El Quincho de Kelo,-27.0612949,-65.3988803,,,,
El Parador de Mauro,-27.0639057,-65.4000377,,,,
El Pingüino de Palermo,-34.5848511,-58.4241831,Jorge Luis Borges,,,
Meridiano 58,-34.5881611,-58.4291263,Jorge Luis Borges,,,
Armenia,-34.5916034,-58.4308192,Armenia,,,
Viejo Agump,-34.5914907,-58.4306304,Armenia,,,
Babieca,-34.5959871,-58.3946264,,,,
Henri,-34.5858161,-58.4252413,,,,
Les Oranges,-37.3248722,-59.1391022,,,,
Las 3 G,-27.8722253,-55.1351361,,,,
Alberdi Minutas,-34.6292529,-58.4557280,,,,
Manhattan,-34.5650811,-58.4544027,,,,
Kemijata,-27.4879867,-55.1356270,,,,
Golemba's,-27.4873808,-55.1271182,Avenida Sarmiento,,,
Club Everton. Comedor Universitario - UNLP,-34.9305037,-57.9443884,,,,
,-34.9541734,-57.9796913,,,,
,-38.0463646,-57.5438473,,,,
La Recoleta,-34.6447407,-58.5905432,,,,
El Quincho,-27.0375380,-55.2276291,Aconcagua,,,
Los Inmortales,-34.5945045,-58.3884494,,+54 11 4811-2222,http://www.losinmortales.com,
Los Inmortales,-34.5607476,-58.4568030,Mendoza,,,
Los Inmortales,-34.6025402,-58.3773658,Lavalle,,,
La Continental,-34.5667972,-58.4342227,,,,
La Continental,-34.6049935,-58.3920593,,,,
La Continental,-34.6139368,-58.3918988,,,,Mo-Th 07:00-01:00; Fr 07:00-03:00; Sa 07:00-04:00; Su 07:00-01:00
La Quintana,-34.8167476,-58.4716601,,,,
La Quintana,-34.7450682,-58.3965982,Leandro N. Alem,,,
La Quintana,-34.6798941,-58.5606324,,,,
La Quintana Parque Patricios,-34.6369592,-58.4054746,,,,
La Farola Express,-34.7131866,-58.2779427,Avenida Zapiola,,,
Family,-28.4687445,-65.7782400,Rivadavia,,,
Picasso,-28.4681566,-65.7786215,República,,,
La Esperanza,-51.0303588,-70.7794236,,,,
Cassis,-41.1691483,-71.4017989,,,,
El Refugio,-33.8986747,-60.5538155,,,,
,-44.0450466,-65.2369129,,,,
Caleta Sara,-44.9030533,-65.5765431,,,,
La Vieja Estación,-44.7952560,-65.7186631,,,,
Puerto Cangrejo,-45.8594967,-67.4745316,,,,
,-50.3358139,-68.8835307,,,,
Vulcanche,-40.6605413,-71.3901081,,,,
,-50.5440725,-72.8187299,,,,
Nativos de la Patagonia,-50.4692401,-73.0294855,,,,Mo-Su 10:30-17:00
,-50.4625814,-73.0253255,,,,
Las Horquetas,-51.4123769,-70.1944368,,,,
Quattrocento,-28.4667567,-65.7937515,Avellaneda,,,
Naos,-49.3143321,-67.7148970,9 de Julio,,,
,-49.3105012,-67.7217921,,,,
,-49.3101590,-67.7234294,,,,
,-49.3106856,-67.7247621,,,,
Comedor Club Deseado Junior,-47.7502702,-65.8907279,,,,
,-47.7532625,-65.9069518,,,,
,-35.2728910,-59.7707166,,,,
Saenz,-35.2715446,-59.7717869,,,,
Comedor Universitario - UNLP,-34.9089832,-57.9257713,,,,
El Alero - POLLOS,-28.4641880,-65.7786419,Rivadavia,,,
María Bonita,-34.7971924,-58.3916296,Bartolomé Mitre,,,
Pertutti,-34.7641368,-58.4004515,,,,
Las Carabelas,-34.7592282,-58.4009708,,,,
El Faro,-34.7983690,-58.3907461,,,,
Planet Taco,-34.7974356,-58.3915535,Bartolomé Mitre,,,
Tío Loco,-34.8049637,-58.4055155,,,,
Parrilla Los Pilares del Tano,-34.8064300,-58.4039430,Avenida Hipólito Yrigoyen,,,
Ahonikenk,-49.3318413,-72.8858437,Güemes,,,
Hard Rock Cafe,-34.5857632,-58.3931570,,,,
Solomia,-34.5505831,-58.4563155,,,,"Tu-Su 12:00-16:00,20:00-24:00; Mo off"
El Boliche de Alberto,-41.1169325,-71.4048308,,,,
El Motivo Tangueria,-38.7180872,-62.2531574,Brandsen,,,
Club Español,-34.6103651,-58.3804301,Bernardo de Irigoyen,,,
La Barra,-40.1623578,-71.3570054,,,,
El Club de la Milanesa,-31.4278752,-64.1843409,Boulevard Chacabuco,,,Mo-Su 12:00-01:00
Strega,-31.4234458,-64.1813552,,,,
Milanesas del Mariscal,-31.4239416,-64.1808032,,,,
Campestre,-31.4235290,-64.1819650,,,,
El Ceibo,-34.4113309,-58.5883479,,,,
Nuevo María Luján,-34.4138281,-58.5852238,,,,
El Tío,-34.4150832,-58.5819400,,,,
La Draga,-34.4148478,-58.5824000,Paseo Victorica,,,
Parrilla La Taba,-34.5855781,-58.6384167,,,,
Las Rejas,-34.4141883,-58.7009608,,,,
Pastas Mama Nicolata,-34.4130408,-58.6911924,,,,
Banchero - Centro,-34.6040547,-58.3849795,Avenida Corrientes,,,
El Cuartito,-34.5978238,-58.3854650,Talcahuano,,,Mo off; Tu-Su 12:30-01:00
Lola,-34.5885838,-58.3914040,,,,
La Barra Juncal,-34.5915960,-58.4007585,,,,
Asia de Cuba,-34.6071676,-58.3640973,,,,
Siga La Vaca,-34.6186412,-58.3651367,Avenida Alicia Moreau de Justo,,,
Puerto Madero Tango,-34.6237014,-58.3638004,,,,
El Museo del Jamón,-34.6229088,-58.3646203,,,,
Gourmet Porteño,-34.6213018,-58.3649101,,,,
La Bistecca,-34.6205998,-58.3650008,Avenida Alicia Moreau de Justo,,,
Estilo Campo,-34.6200000,-58.3650999,Avenida Alicia Moreau de Justo,,,"Mo-Su 12:00-16:00,19:30-24:00"
Pizza Voialtri,-34.7004508,-58.5865304,República de Portugal,,,Mo-Su 11:45-00:00
Pizza Hanoy,-34.7009359,-58.5825070,,,,
La Navarra,-34.2586443,-58.6442805,,,,
,-34.6198268,-58.3771900,Piedras,,,
El Encuentro,-34.6197940,-58.3786106,Carlos Calvo,,,
Jaime y Alicia,-29.1762576,-67.4941385,Avenida Presidente Perón,,,
Macedonio,-35.1157083,-58.8979233,,,,
El Palenque,-35.1237335,-58.8928993,,,,
,-34.8383341,-57.9485788,,,,
Tasca,-34.4788600,-58.4949454,,,,
Santino,-38.7144480,-62.2610140,Dorrego,,,
York,-38.7128714,-62.2614612,Avenida Alem,,,
Cervecería Artesanal Colonial,-38.7131013,-62.2612734,Avenida Alem,,,
Jardín Zen,-38.7005491,-62.2717672,Avenida Alem,,,
La Imperial,-32.8204604,-61.3935433,,,,
Restaurante Terminal,-26.6241753,-54.1208109,,,,
Golden,-37.3267817,-59.1344972,General Pinto,,,
Come Cabron,-37.3341742,-59.1335274,,,,
Molly Malone,-37.3267330,-59.1347515,,,,
Cuero Crudo,-38.7024457,-62.2632890,Fuerte Argentino,,,
Pizza por Metro,-38.7036404,-62.2634409,General Urquiza,,,
El Hornichu,-31.7290830,-64.4120865,Ruta Provincial 5,,,Mo-Su 10:00–15:00 19:00–23:00
Parrilla Los Morteritos,-31.7128469,-64.4041088,,,,
,-31.7160413,-64.4041945,,,,
,-31.7224208,-64.4044214,,,,
Velvet,-34.5890486,-58.4155142,Jerónimo Salguero,,,
Accademia della Pizza,-34.5903702,-58.4109831,,,,
Fuensanta,-34.5914883,-58.4123590,,,,
Don Adolfo,-31.9443146,-65.1908854,,,,
Pertutti,-34.6626371,-58.3643126,Avenida Bartolomé Mitre,,,
La Leyenda,-34.5988307,-58.3798997,,,,
Être,-34.5990880,-58.3795873,,,,
Club de Policía,-34.4978261,-58.4791468,,,,
Juan Alfredo,-27.4859006,-55.1186990,Ralf Singer,,,
,-31.4779210,-64.5638138,,,,
El Corchito,-25.3302634,-66.2434706,,,,
,-25.3293542,-66.2426739,,,,
La Posta,-25.3319659,-66.2444876,,,,
Marconi,-31.4378334,-64.1920693,,,,
Comedor Universitario,-31.4398058,-64.1893701,,,,
La Nonna,-27.4329717,-65.6169378,,,,
,-27.4307682,-65.6139239,,,,
Parillada la Tablita,-31.6841803,-60.7892678,,,,
Fortín Luján,-31.6806379,-60.7746551,,,,
El Chiquito,-35.0312491,-58.4163908,,,,
Lo De Gra,-35.0254856,-58.4227855,,,,
Parilla,-34.5094906,-58.5776600,,,,
