name,@lat,@lon,addr:street,contact:phone,contact:website,opening_hours
Café Comercial,40.4287320,-3.7020018,Glorieta de Bilbao,,,"Mo-Th 08:30-01:00, Fr-Su 08:30-02:00"
Restaurante Bar Asociación Amigos de Yanguas,42.1000902,-2.3382500,,,,
Rey de Tallarines,40.4245836,-3.7096220,Plaza del Conde de Toreno,,,
La Parrilla de Nino,40.4257624,-3.7120848,Plaza de Cristino Martos,+34 915 59 60 11,,
Delhi,40.4251400,-3.7118533,Calle del Duque de Osuna,,,
Borda,42.9015690,-2.0646000,,,,
Urbasa,42.9040953,-2.0624662,,,,
Iturri Eder,42.9059585,-2.0652421,,,,
Irurzun,42.9078895,-2.0650614,,,,
La Pomarada,40.4260327,-3.7115410,Calle del Conde Duque,,,
Sexto,40.4252476,-3.6963836,Calle de Fernando VI,+34 608566104,http://thesexto.com/,
Brasa y Leña,40.4162327,-3.7088498,Plaza del Comandante Las Morenas,,http://www.brasaylena.com/#,
100 Montaditos,40.4136360,-3.7087291,,,,
Les Roques,39.4710138,-0.3806733,,,,
La Masía del Vino,39.4708998,-0.3812193,,,,
Aladino,39.4708920,-0.3830845,,,,
,38.8749440,-1.3324402,,,,
Olatz jatetxea,43.2889873,-2.4066274,,,,
Lasa jatetxea,43.1071010,-2.4187505,,,,
Caretta Beach 3 La Pared,28.2183515,-14.2193855,,,,Fr-Tu 12:00-22:00
El Tilo,36.9617778,-3.3595921,,,,
El Jardín de los Sabores,36.9608186,-3.3569562,Carretera de la Sierra,,,
s'Estiu,39.6567475,3.4375368,Via de les Coves,+34 971841352,,
El Mesón,39.6580359,3.4405030,,,,
El Pirata,39.6557273,3.4394614,,,,
Bonanza,39.6562822,3.4384913,Via Melesigeni,+34 971841529;+34 679998306,https://pizzeria-bonanza.negocio.site/,Mo-Su 17:00-24:00
Isabel,39.6562361,3.4370405,Via de les Coves,+34 971841522,http://www.isabelcanyamel.com/,
Rafael Navarro Trujillo,39.6577952,3.4390314,Via Melesigeni,+34 971841529,,Mo-Su 08:00-11:00
El Viajero,40.4116272,-3.7102277,Plaza de la Cebada,,,
Que trabaje Rita,40.4120680,-3.7105933,,,,
El Cosaco,40.4130128,-3.7113878,,,,
El Estragón Taberna,40.4130894,-3.7117933,,,,
Tío Timón,40.4131593,-3.7117469,Costanilla de San Andrés,,http://tiotimon.com/,
Taquería del Alamillo,40.4137154,-3.7127335,,,,
Makatzeta,43.0962295,-2.5745072,,,,
Foster's Hollywood,39.4771080,-0.3632784,,,,
Casa Manolo,39.4519266,-0.3739882,,,,
Casa Tere,39.4508285,-0.3732921,,,,
,39.4505895,-0.3730823,,,,
Saisua,39.4517073,-0.3723198,,,,
Chino Nuevo Siglo,39.4513061,-0.3720350,,,,
Bar San Luís,39.4482747,-0.3678884,,,,
El Famós,39.4849007,-0.3379912,Camí de L'esglesia de Vera,,,
Yashi Wok,39.4955817,-0.4016255,,,,
Hotel Adelma,43.3883362,-3.6879646,,,,24/7
Casa Ginés,40.4854130,-3.6852544,,,,
Mesón Gallego,40.4857882,-3.6926733,,,,
Queen Burger Gourmet,40.4855645,-3.6920333,Calle de San Modesto,,,"Mo-Su 00:00-02:00,11:00-24:00"
tele-bocata,40.4862924,-3.6924531,,,,
,40.4843585,-3.6868649,,,,
,40.4844368,-3.6870451,,,,
Casa Mouriño,40.4855440,-3.6895993,,,,
Cafetería Jeymon,40.4856113,-3.6897672,,,,
Tapería de Fuencarral,40.4849065,-3.6848200,,,,
Taberna la Tortuga,40.4468248,-3.7143080,,,,
Pans & Company,41.7242743,1.8466648,,,,
Taberna Restaurante Txamizo,40.4867692,-3.6892092,,,,
Restaurante Fereva,40.4854963,-3.6895029,,,,
Cafetería y comidas,40.4486523,-3.7297735,,,,
DJango,39.4742601,-0.3812275,,,,
Fuente de la Fama,40.4115676,-3.6978097,,,,
A Cañada,40.4111815,-3.6957132,,,,
Arrocería Gala,40.4124270,-3.6963071,,,,
El Fogón Verde,40.4122937,-3.6939658,Calle de la Alameda,,,
El Rábano,40.4134319,-3.6957085,,,,
Terra Mundi,40.4136237,-3.6960696,Calle de Lope de Vega,,,
Edelweiss,40.4169233,-3.6966322,,,,
El Secreto de Castilla,40.4171806,-3.6965924,,,,
Sagardi,40.4173325,-3.6966034,Calle de Jovellanos,,,
Vegetariano,40.4168220,-3.6971908,,,,
Uskar,40.4040925,-3.7009208,,,,
A Cañada,40.4047549,-3.7014847,,,,
Valdivieso,40.4049362,-3.6986721,,,,
Hong,40.4051914,-3.6973199,,,,
Restaurante Indio,40.4050712,-3.6952969,,,,
Arcade,40.4152606,-3.7115508,Calle Mayor,+34 91 431 40 83,http://www.restaurantearcade.es/,
Cruz Blanca,40.4156552,-3.7102080,Calle Mayor,+34 915476715,https://cerveceriacruzblanca.es/local/cervecer%C3%ADa-cruz-blanca-madrid-mayor,
,40.4155619,-3.7100123,,,,
Taste Gallery,40.4153729,-3.7094547,,+34917589339,,
Taberneros,40.4163669,-3.7104348,Calle de Santiago,+34 91 542 21 60,http://www.restaurantetaberneros.es/,
Arbonaida,40.4164826,-3.7106873,Calle de Santiago,+34 639 50 00 68,,
Grazie Mille,40.4161161,-3.7075072,,,,
San Rosendo,42.3167613,-7.8682441,,,,
Entre suspiro y suspiro,40.4186369,-3.7090308,Calle de Caños del Peral,+34 915 420 644,,
Ópera Victoria,40.4185506,-3.7089327,Calle de Caños del Peral,+34 918 313 489,http://www.grupandilana.com/opera-victoria/,
Wok King,40.4196027,-3.7077218,Calle de las Veneras,,,
Taberna de los Ángeles,40.4186643,-3.7082433,Costanilla de los Ángeles,,,
Lizarrán,40.4196449,-3.7070086,Calle Preciados,,,
El Gaucho,40.4181830,-3.7031236,Calle de Tetuán,+34 915 22 47 93,http://parrillaelgaucho.es/,
Artemisa,40.4192070,-3.7029076,Calle de las Tres Cruces,,https://restaurantevegetarianosolgranvia.com/,
Takos Al Pastor,40.4189480,-3.7037389,Calle Abada,+34 680 24 72 17,,13:30-00:00; Mo off
Ginos,40.4205737,-3.7068314,Gran Vía,,,
Bipolar,39.4737322,-0.3818644,Plaza de las Escuelas Pías,,,
Restaurante Aldaba,39.4746657,-0.3835167,,,,
Canela Arroces,39.4758321,-0.3830933,Carrer de Quart,,,Mo-Su 13:00-17:00
Hostal Ventas de Carrión,42.7097912,-2.0707819,,,,
Dhaba,39.4742592,-0.3808255,Plaça de Joan de Vila-rasa,,,Tu 19:30-00:00; We-Mo 13:00-00:00
Restaurante Stil,28.1618001,-14.2310826,Calle La Parabola,,,"Th off; Mo-We, Fr-Su 17:00-22:00"
Pizzeria Rinconcito,28.1616042,-14.2306256,,,,
Finca Pepe,28.4237879,-14.0724355,,,,
Casa Enrique,43.3871402,-3.7310363,,,,
Restaurante El Cortijo,42.3386557,-1.8102323,,,,
Cantal Panoramic,42.7625673,-0.3829669,,,,
Autoservicio Anayet,42.7791398,-0.4132234,,,,
Selva Café,42.7748435,-0.3721433,,,,
Preity Raj,40.4102862,-3.7008582,,,,
A Cañada,40.4109653,-3.7004479,Calle del Ave María,,http://sidreriaacanada.com/,
Raja Mahal,40.4111374,-3.7003260,Calle del Ave María,,http://www.rajamahal.es/,
Moharaj,40.4110886,-3.7005890,,,,
Nap,40.4108202,-3.7005322,Calle del Ave María,,,
Bombay Palace,40.4107264,-3.7008747,,,,
,40.4093708,-3.7009194,,,,
El Aperitivo del Corazón,40.4106867,-3.6995223,Calle de los Tres Peces,,,Mo-Su 07:00-02:00
O'Barquiño,40.4114924,-3.6994308,Calle de la Torrecilla del Leal,+34 915 28 25 42,http://www.mesonobarquino.es/,
La Temeraria,40.4117492,-3.7003220,Calle del Ave María,,,
El Dinosaurio,40.4116655,-3.7003640,,,,
Valencia 11,38.3526493,-0.4833981,,,,
casa Salvi,38.3598232,-0.4683650,,,,
Hotel Peñalén,42.3287406,-1.8108916,,,,
Bonaparte,41.6427539,-0.8881719,Avenida Francisco de Goya,,,
El Tuno,41.6407392,-0.8969864,,,,
Ginos,40.4550630,-3.6226906,,,,
Wok,40.4550377,-3.6224960,,,,
Vips,40.4549871,-3.6222587,,,,
Como Como Slow Food,40.4367886,-3.6226101,Calle de Julián Camarillo,,,
La Picada,42.5933676,0.5390373,Calle Obispo,,,
El Rincón,42.5946695,0.5385773,,,,
Planet 81,42.5893712,0.5399148,,,,
Los Reyes,40.7175029,-3.9201748,Plaza de la Constitución,,,
Asador don Baco,40.7174658,-3.9203127,Plaza de la Constitución,,,
La Venta de El Boalo,40.7174281,-3.9203733,Plaza de la Constitución,,,
La Venta de Isidro,40.7173984,-3.9204570,Plaza de la Constitución,,,
Mesón Agustín,40.7174142,-3.9196009,Calle Audiencia,,,
Las Viandas Mesón,37.9840242,-1.1325607,,,,
Meson de Ligüerre,42.2810489,0.1968586,,,,
Área de Servicio Valle de Petrosos,42.7032420,-0.2744765,,,,
Bar El Parc,38.8318852,-0.4969566,,,,
Restaurante Pico Pico,40.4450380,-3.6411778,,,,
Asador Rías Bajas,40.4445989,-3.6403865,,,,Mo-Su 08:00-24:00
El Racó,40.4424437,-3.6384083,,,,
Happiness,40.4423564,-3.6383442,,,,
Comediante,40.4704992,-3.5803968,,,,
La Escondida,40.4696609,-3.5839888,,,,
La Plaza,40.4739157,-3.5771564,,,,
Siena,40.4723475,-3.5786174,,,,
Miravalles,40.4710865,-3.5798455,,,,
Al Tran Tran,40.4722300,-3.5821536,,,,
Sidrería Poniente,43.5374883,-5.6840265,,,,
El llavianu,43.5368402,-5.6840462,Plaza de la Ciudad de La Habana,,,
Jota Cinco,40.4382334,-3.6373154,,,,Mo-Su 08:00-02:00
Mamma Juana,40.4382170,-3.6373926,,,,
Grant's,40.4397488,-3.6364268,,,,
Go,40.4375703,-3.6370092,,,,
Matsuri,40.4438890,-3.6345377,Calle López de Aranda,+34 917 43 43 98,,"Mo-Su 13:00-16:30, 20:00-00:00"
Unus,40.4439935,-3.6344424,,,,
Carlos,40.4440493,-3.6343156,,,,
El Ratito,40.4441386,-3.6341149,,,,
Eu Mundo,40.4445466,-3.6346069,,,,
Casa Tampico,40.4448785,-3.6353350,,,,
Cafetería Restaurante El Raso,42.3385583,-1.8224552,,,,
Hostal La Atalaya,42.3386896,-1.7969173,,,,
Centro de Jubilados,36.8807271,-2.0054967,,,,
La Chica,42.4814296,-1.6509359,,,,
Torre Mauro,38.3660534,-0.4308318,,,,
Salones Juan XXIII,38.3699207,-0.4700606,,,,
San Francisco,40.5200258,-3.7812549,Pista Cristo del Pardo,,,
La Montaña,40.5187667,-3.7754372,,,,
Mesón del Pardo,40.5194084,-3.7767025,,,,
Sidrería Ipur,43.1827865,-2.4795019,,,,
La Pepa,40.5059026,-3.6757441,Calle de San Juan de Ortega,,,
La Vega Experience,40.5338476,-3.6261189,Calle de Anabel Segura,,,
Restaurante Villa  Marcilla,42.3344379,-1.7184956,Ctra Estacion s/n,,,
Alfredo's Barbacoa,40.4605707,-3.6872821,Calle de Juan Hurtado de Mendoza,,,
,40.5060565,-3.6676655,,,,
