name,@lat,@lon,addr:street,contact:phone,contact:website,opening_hours
The Pink Store,31.7823214,-107.6273869,,,,
Mariscos Gamez,31.7781115,-107.6261424,,,,
"Cafeteria ""Cristy""",31.7786822,-107.6268601,,,,
Vips,25.7084915,-100.3507470,,,,
Sierra Madre,25.6834481,-100.3546367,,,,
Toks,19.3453094,-99.1722996,Avenida Miguel Ángel de Quevedo,,,
Vips,17.9793530,-92.9387389,,,,
Sanborns Loreto,19.3387504,-99.1928585,Altamirano,,,
Sanborns,19.3470361,-99.1880177,,,,
Restaurant Adriana,16.7377281,-92.6399160,5 de Mayo,,,
Toks,19.3740688,-99.1792929,,,,
La Estación,19.3885172,-99.1909500,,,,
Taquería La Onda,19.4276384,-99.2116606,Barrilaco,,,
Restaurant el Caminante,27.9589999,-110.7666667,,,,
Restaurant la Godorniz (Fitosanitaria),31.3275258,-109.4723276,,,,
Marina del Rey (Restaurant),27.8223333,-109.8845000,,,,
Restaurant la Panchita,26.4363268,-109.0356900,,,,
Restaurant San Luisito,31.2006887,-112.4757952,,,,
Pollo Feliz,21.1117377,-101.6748761,,,,
Pizza Hut,21.1121380,-101.6761120,,,,
Italian Pizza,21.1072831,-101.6709341,,,,
El Portón Pirules,19.5413859,-99.2143498,,,,
VIPS Pirules,19.5437619,-99.2126809,,,,
Toks Santa Monica,19.5378025,-99.2166203,,,,
Lupillos Parque Hidalgo,21.1317488,-101.6909064,,,,
Cien Años,32.5234554,-117.0115478,Avenida José Maria Velasco,,,
La Parrilla,16.7406477,-92.6356513,,,,
ViaVai,16.7381549,-92.6379979,20 de Noviembre,,,
Emiliano's Moustache,16.7360835,-92.6389650,,,,
Balam,16.7363924,-92.6380387,,,,
Lety's,23.1874185,-106.4057722,,,,
Victor's,23.1874011,-106.4055951,,,,
Terraza,23.2409279,-106.4504972,,,,
,19.6989649,-98.8379447,,,,
El Mangalar,17.6264746,-101.5453742,,,,"Mo-Tu,Th-Su 11:00-21:00"
Il Mare,17.6363681,-101.5501728,,,,
Nueva Zelanda,17.6398633,-101.5582295,,,,
Los Tulipanes,16.8778163,-92.1065843,,,,
Copa Cabana,20.4983297,-86.9429640,,,,
Sorrisi,20.5085239,-86.9518146,,,,
Alberto's,20.3719211,-87.0238049,,,,
Vips,17.9726030,-92.9241849,,,,
El Portón,17.9884535,-92.9673848,,,,
Tablitas,14.9095012,-92.2652812,,,,
Papablita,14.8993988,-92.2452826,,,,
La Peña,14.9093271,-92.2485957,,,,
7 Mares,14.9079088,-92.2479691,,,,
Freedom in Paradize - Reggea beach bar,20.2927130,-86.9578455,,,,
,14.9134368,-92.2573968,,,,
Bamboo,14.9113800,-92.2641123,,,,
Tango Argentina,14.9083967,-92.2558976,,,,
Los Portales,19.3163954,-98.2377057,,,,
Barracuda Diner,19.4159735,-99.1696719,,,,
La Biela,19.4163620,-99.1706075,,,,
,19.3958298,-99.1762066,,,,
Chili's,19.3957570,-99.1719772,,,,
La Strega,19.3953223,-99.1722289,,,,
El Samurai,19.3942701,-99.1784481,Nueva York,,,
Wings Puerto Aereo,19.4343614,-99.0887508,,,,
