name,@lat,@lon,addr:street,contact:phone,contact:website,	opening_hours
Griffon Gastropub,42.7680859,-78.6113159,Main St.,,,
Tony Rome's The Globe,42.7676210,-78.6083001,,,,
Rick's on Main,42.7675639,-78.6092902,Main St.,,,
East End Tap Room,42.7674792,-78.6086259,,,,
Leo's Pizzeria,42.7645832,-78.6330880,Grey Street,,,
Allentown Pizza,42.8995736,-78.8773459,Elmwood Avenue,,,
Allen Street Hardware,42.8996791,-78.8792223,,,,
Crust Pizza Bar,42.8993775,-78.8790159,Allen Street,,,
La Tee Da,42.8993307,-78.8776432,,,,
Casa Azul,42.8995948,-78.8769909,Allen Street,,,
Betty's,42.8967153,-78.8787220,,,,
Gaturs Etheopian Cuisune,42.8995238,-78.8726639,,,,
Fat Bob's Smoke House,42.8978911,-78.8733661,,,,
Mother's,42.8976521,-78.8733404,,,,
The Snooty Fox,42.8963191,-78.8746278,,,,
Merge,42.8961305,-78.8746793,Delaware Avenue,,,
Gabriel's Gate,42.8996579,-78.8754776,,,,
Charlie's Boathouse,42.8510184,-78.8643780,,,,
Chili's,41.6271056,-73.9160936,,,,
Pizza Hut,44.5979018,-75.1476010,,,,
A-1 Oriental Kitchen,44.5956339,-75.1713012,,,,
Sergi's,44.5955859,-75.1719736,,,,
Silver Cent Diner,44.4571482,-75.3556509,,,,
Casablanca Restaurant,44.3410411,-75.4533859,,,,
Pizza Hut,41.0940105,-74.0022565,,,,
Hooters,40.7408217,-73.7842950,190th Street,,,
Sam Sunny,40.7415576,-73.9784628,,,,Mo-Th 1200-2200; Fr-Sa 1200-2300; Su 1200-2200
Denny's,43.0012772,-78.4073048,,,,
Cloudspin Lounge and Deli,44.3538598,-73.8619522,,,,
Lookout Cafe,44.3537584,-73.8618935,,,,
Base Lodge Food Court,44.3538705,-73.8618135,,,,
Castle Cafe,44.3672992,-73.9061707,,,,
Red Lobster,43.2049644,-77.6680789,Ridge Road West,,,
Nin's Restaurant,44.8049104,-74.9816841,,,,
Mount Fuji,41.1286629,-74.1687246,,,,
Chili's,41.0930998,-74.0027255,,,,
Greg's Italian-American Restaurant,44.3372415,-75.4627839,,,,
,40.7165746,-73.5992644,,,,
Maurice's Deli,42.6494573,-73.7532592,,,,
La Bella Pizza & Restaurant,42.6946668,-73.6372185,Main Avenue,,,
Old Daley Inn on Crooked Lake,42.6076897,-73.5219884,,,,
Chez Mikes,42.5975949,-73.7117930,,,,
Garlic Lover's Corner,42.6821600,-73.6887140,,,,Mo-Fr 1100-1500
I Love NY Pizza of Route 4,42.6820075,-73.6887627,,,,
Zenbu Chinese Restaurant,42.6613570,-73.6915008,North Greenbush Road,,,
Pastabilities,43.0483095,-76.1553890,South Franklin Street,+1 315 474 1153,httpswww.pastabilities.com,Mo-Th 1130-1430
Bistro Elephant,43.0476085,-76.1545380,West Jefferson Street,315 475 1111,httpwww.lemongrasscny.com#about,Mo-Sa 1700-2330
Pedro's,40.7025316,-73.9865653,Jay Street,,,Mo-Su 1200-2300
Hot Harry's,42.5977109,-73.7119186,,,,
Johns Tex-Mex,43.1475676,-77.6057015,South Avenue,,,
Hometown Diner,42.6462271,-73.6071894,Mall Way,,,
Lee Sun Chinese Food,42.6460311,-73.6057329,Mall Way,,,
Michael's Lounge,42.6459918,-73.6054171,Mall Way,,,
El Bar & Grill,42.8742328,-78.8743627,,,,
Angelina's,40.5134027,-74.2513558,Ellis Street,,,
Pizza Hut,41.5267802,-74.0342905,North Plank Road,,httpslocations.pizzahut.comnynewburgh75-n-plank-rd,
TGI Friday's,41.5038688,-74.0701747,,,,
Boutros,40.6901687,-73.9934852,,,,Mo-Th 1730-2330; Fr 1730-0100; Sa 1100-1530
Bubo,40.7460281,-73.9776441,,,,Mo-Th 1600-0200; Fr-Sa 1600-0400; Su 1600-0200
Little Alley,40.7473845,-73.9771526,3rd Avenue,,,Mo-Th 1130-1500
The Musket Room,40.7239188,-73.9937813,,,,Tu-Sa 1700-2300
Nha Trang One,40.7167899,-73.9996711,Baxter Street,,,Mo-Su 1030-2200
Aji Sushi,40.7461266,-73.9775830,,,,Mo-Fr 1130-1530
Roam Cafe,43.1504903,-77.5892055,Park Avenue,,,Mo-Sa 1130-2400; Su 1030-2200
Nanuet Diner,41.0987185,-74.0162547,West Route 59,,,
Dragon Buffet,42.7344918,-73.8515892,,,,
Zum Stammtisch,40.7018175,-73.8811268,Myrtle Avenue,,,
O'Donoghue's Tavern,41.0909754,-73.9177424,,,,
Paradiso Pizza,43.0913181,-77.6559175,,,,
Abbot's Custard,43.0920691,-77.6564579,,,,
Lake Pavilion,40.7426161,-73.8248756,,,,
Happy Garden Restaurant,40.7430063,-73.8257940,,,,
Sabad's Restaurant,44.8021066,-74.9977295,,,,
Mr. Mike's Pizza,44.2807261,-73.9815468,,,,
The Point Cafe,42.7956775,-73.9623528,,,,
Stewart Airport Diner,41.5222822,-74.1119413,,,,
Neptune Diner,41.5053793,-74.0709743,,,,
Union Square Restaurant,41.5050386,-74.0737295,,,,
Johnny's Pizzeria,41.5258248,-74.1347095,,,,
GlassMarket Cafe,42.1496754,-77.0538120,,,,
,42.1422552,-77.0492630,,,,
Red Robin,41.6596465,-73.9309591,,,,
Pizza Hut,41.3975629,-74.3376597,,,,
Goshen Diner,41.3965328,-74.3326214,,,,
Bukhara Bistro,41.4543663,-74.0582731,,,,
Planet Wings,41.4632752,-74.0513208,,,,
,42.7006822,-74.0333001,Main Street,,,
The Inwood Farm,40.8727992,-73.9184210,West 218th Street,,,Mo-Fr 0700-2230; Sa 0700-2300; Su 0800-2200
Garden Café,40.8681188,-73.9204207,Broadway,,,Mo-Fr 1100-2300; Sa
Le Monde,40.8057929,-73.9658536,Broadway,,,
Hancock House,41.9542880,-75.2792554,,,,
Newburgh Buffet,41.5241113,-74.0711507,,,,
Jak's Steakhouse,41.5190466,-74.0688332,,,,
King Buffet,41.5197937,-74.0684416,,,,
Perkins,41.5213601,-74.0712365,,,,
Denny's,41.5071084,-74.0688708,,,,
Gateway Diner,41.5070762,-74.0676102,,,,
LongHorn Steakhouse,41.5058914,-74.0680051,,,,
Rosendale Cafe,41.8440844,-74.0832593,,,,
Soy,41.8439374,-74.0827255,,,,We-Fr 1700-2200; Sa 1200-2200; Su 1200-2100
Philips European Restaurant,43.1065338,-77.6183405,,,,Mo-Sa 1100-2300
Delmonico's Italian Steakhouse,43.1053548,-77.6172225,,,,
TGI Friday's,43.1050094,-77.6167795,,,,
Carmine's Pizzeria,40.7149680,-73.9443016,Graham Avenue,,,
El Loco Burrito,40.7148102,-73.9445968,Graham Avenue,,,Mo-Sa 1100-2100; Su 1200-2100
Tony's Pizza,40.7150542,-73.9446372,,,,Mo-Th 1000-2300; Fr-Sa 1000-2400; Su 1000-2300
East Met West,40.7144470,-73.9439212,Metropolitan Avenue,,,Mo-Th 1100-2300; Fr
Il Passatore,40.7143441,-73.9420637,Bushwick Avenue,,,1700-2200
Sarah James,40.6932477,-73.9425684,Pulaski Street,,,
Club House,41.1402785,-73.9908116,,,,
Hard Rock Cafe,40.7569097,-73.9865975,Broadway,,,
Plaza Pizzeria on Main,43.0126956,-78.8797429,Main Street,,,
Salty's Pub,42.8381413,-73.7384977,,,,
Foundry Cafe,41.4172932,-73.9588387,,,,
Carbone,40.7554192,-73.9930152,West 38th Street,,,
Freemans,40.7219891,-73.9924423,Freeman Alley,,,Mo-Th 1100-2300; Fr 1100-0200; Sa 1000-0200; Su 1000-2300
Aurora,40.7156820,-73.9646840,Grand Street,,,
Tick Tock Diner,40.7524435,-73.9935503,8th Avenue,,,We-Su 0000-0000; Mo
Giovanni,40.7791310,-73.9605360,East 83rd Street,,,
Brandywine Diner,42.7996841,-73.9296053,,,,
Bamboo Chinese Restaurant,42.7228452,-73.9361861,,,,
Angelo's 677 Prime,42.6533342,-73.7486679,Broadway,,,
Albany Pump Station,42.6540692,-73.7477348,Quackenbush Square,,,
Jack's Oyster House,42.6488078,-73.7512345,State Street,,,
Taste,42.6486995,-73.7528150,South Pearl Street,,,
La Serre,42.6486310,-73.7516644,Green Street,,,
Yono's,42.6532897,-73.7516606,Chapel Street,,,
Golden Phoenix,43.0647069,-77.4136916,,,,
The Good Fork,40.6759784,-74.0142976,Van Brunt Street,,,Tu-Fr 1600-2400; Sa-Su 1200-2400
,42.9750582,-73.8463183,,,,
Attanasio's Restaurant & Banquet House,42.8247961,-73.9615266,,,,
Scotia Diner,42.8246834,-73.9613355,,,,
Shake Shack,42.4280363,-73.8055085,,,,
Chick-fil-A,42.4279406,-73.8055583,,,,Mo-Sa 0700-2200
Glen Sanders Mansion,42.8222896,-73.9593924,Glen Avenue,,,
De Marco's Restaurant,42.7412050,-73.8591448,,,,
Farmer Boy Diner,42.7424935,-73.8606593,Central Avenue,,,
Pronto Pizzeria and Restaurant,41.1929515,-73.8795178,,,,
Blue,40.6453855,-74.1077517,Richmond Terrace,,,Su 1200-2100
Crossgates Restaurant and Banquet House,42.7016954,-73.8502478,Washington Avenue Extension,,,
Italian American Community Center,42.7063338,-73.8589999,,,,
Elias Pizzeria,42.5889386,-73.6994962,,,,
East Greenbush Diner,42.5837957,-73.6931966,,,,
Fireside Pizza Den,42.4527282,-73.6943127,,,,
The Pond Restaurant,42.0577337,-73.5662121,,,,
Big Grill Restaurant,41.9534952,-73.5134736,,,,
Washington House,42.1793884,-73.5259086,,,,
Hillsdale House,42.1789805,-73.5254406,,,,
Dutch Treat Restaurant,42.1764787,-73.5769997,,,,
Vanderbilt House,42.2504136,-73.6442881,,,,
White Stone Cafe,42.3306009,-73.6132761,,,,
Jackson's Old Chatham House,42.4411291,-73.5624095,,,,
West Wok,42.6010160,-73.7954338,,,,
Casa Mia,42.6034365,-73.7917129,,,,
Ravena Diner,42.4721188,-73.8172038,,,,
Sushi King,42.7317237,-73.6913370,,,,
Marmora Cafe,42.7308120,-73.6938430,River Street,,,
Jose Malone's,42.7355375,-73.6876359,,,,
La Perla Restaurante,42.6343212,-73.5529890,State Highway 43,,,
Piato Greek Kitchen,41.2017286,-73.8863269,South Riverside Avenue,+1 914 862-0806,httpswww.piatogreekkitchen.com,Su-Th 1130-2100; Fr-Sa 1130-2130
Dorado's Restaurant & Bar,42.6969114,-73.8891675,,,,
JayCee's Pizza Depot,42.6547993,-73.9293108,,,,
Paisano's Pizza Villa,42.7005547,-74.0335386,Main Street,,,
Bamboo Garden,42.7006567,-74.0333751,Main Street,,,
Highlands Restaurant & Lounge,42.6785092,-74.0775006,,,,
Standard Restaurant & Bar,42.6888893,-73.8501573,Crossgates Mall Road,,,
Unos,42.6896502,-73.8495722,Crossgates Mall Road,,,
Ruby Tuesday,42.6890931,-73.8504250,Crossgates Mall Road,,,
The Melting Pot,42.6892477,-73.8508756,Crossgates Mall Road,,,
Johnny Rockets,42.6903291,-73.8527428,Crossgates Mall Road,,,
Township Tavern,42.7004096,-74.1024208,,,,
Okinawa,42.6979253,-73.6471263,,,,
Vinegar Hill House,40.7026239,-73.9813033,Hudson Avenue,,,
Dan's Diner & Quick Lunch,42.3330175,-73.5553256,,,,
Celadon Thai Bistro,42.8247898,-73.9112285,Rosa Road,,,closed
Ginza Japanese & Korean Restaurant,42.7587958,-73.7671656,,,,
Shogun Sushi Sake Bar,42.6234422,-73.8285433,,,,
Hideaway Hotel,42.3294750,-74.4198610,,,,
Prattsville Diner,42.3139508,-74.4312121,,,,
New Panda Chinese Restaurant,42.7572459,-73.7584672,,,,
Hunan Wok Chinese Restaurant,42.8049755,-73.9046599,Union Street,,,
Pizza Buono,42.8032964,-73.8998812,,,,
Ling Ling Chinese Buffet,42.8564889,-77.0042349,,,,
Xin Fu Chinese Food,42.7707248,-73.8224327,Troy Schenectady Road,,,
Marlow & Sons,40.7106872,-73.9656773,Broadway,,,Mo-Th
Diner,40.7106766,-73.9655977,Broadway,,,Mo-Th 1800-2400; Fr 1100-2400; Sa
Chuck E. Cheese's,42.7541951,-73.7666105,,,,
Tequila Mexican Bar and Grill,42.8166655,-73.8914941,Nott Street East,,,
Kabuki Sushi and Teriaki Japanese and Korean Cafe,42.7618925,-73.7959079,,,,
Shalimar Indian & Pakistan Cuisine,42.7619188,-73.7960488,,,,
The Pasta Factory,42.7626116,-73.7986296,,,,
Mercato's III restaurant,42.7625625,-73.7983353,,,,
