name,@lat,@lon,addr:street,contact:phone,contact:website,opening_hours
The Village Terrazza,48.8298353,2.3228662,,,,
Le Severo,48.8319911,2.3245334,Rue des Plantes,,,"Mo-Fr 12:00-13:30, 19:30-21:30"
Uno,48.8618492,2.3434997,Rue Berger,+33 1 42 36 20 47,,
La Crypte Polska,48.8672925,2.3255509,,,,
Mystery Cuisine,48.8659000,2.3372420,,+33 1 40 20 03 02,,
Chez Denise,48.8615239,2.3440891,,+33 1 42 36 21 82,,Mo-Su 12:00-24:00; Mo-Su 00:00-02:00
La Robe et le Palais,48.8586437,2.3458501,,,,
Macéo,48.8663903,2.3380844,,,,
Le Petit Marché,48.8573191,2.3660431,Rue de Béarn,,,
Café des Musées,48.8580708,2.3643313,,,,"Mo-Su 12:00-15:00,19:00-23:30"
Camille,48.8577772,2.3607273,,,,
Les Enfants Rouges,48.8630297,2.3612527,,,,
L'Encrier,48.8483622,2.3739893,Rue Traversière,,,"Mo-Fr 12:00-14:30,19:00-22:30; Sa 19:00-22:30"
Lémoni Café,48.8648091,2.3411291,,,,Mo-Fr 11:30-15:00
Rani Mahal,48.8687993,2.3373273,,,,
O'Scia,48.8648222,2.3475072,,,,
Café Moderne,48.8689038,2.3422059,,,,
Holy Ramen,48.8609970,2.3544354,,,,
La Perla,48.8557588,2.3561398,,+33 1 42 77 59 40,http://www.cafepacifico-laperla.com/,Mo-Su 12:00-24:00
L'Excuse,48.8533876,2.3620076,,,,
Les Pinces,48.8575825,2.3562566,,,,"Mo-Fr 12:00-14:15, Sa,Su 12:30-15:00, Su-Th 19:00-22:30, Fr-Sa 19:00-23:00"
Chez Marianne,48.8577181,2.3586116,,,,
Terrasse Sainte-Catherine,48.8555900,2.3628253,,,,
Le Lutétia Île Saint-Louis,48.8532987,2.3540953,Quai de Bourbon,+33 1 40 51 80 30,,Mo-Su 07:30-23:00
Au Petit Fer à Cheval,48.8574347,2.3576107,Rue Vieille du Temple,,,Mo-Su 09:00-02:00
Jardin des Pâtes,48.8437435,2.3544856,,+33 1 43 31 50 71,,"Mo-Su 12:00-14:30,19:30-22:30"
La Tour d'Argent,48.8498300,2.3549148,Quai de la Tournelle,,,"Tu-Sa 12:00-13:15, 19:00-21:15"
Ambiance De L'Inde,48.8449407,2.3486924,Rue Thouin,,,"12:00-15:00,18:30-24:00"
Desi Road,48.8556694,2.3399888,,,,
Brasserie Lipp,48.8537528,2.3324105,Boulevard Saint-Germain,,,Mo-Su 11:45-00:45
