name,@lat,@lon,addr:street,contact:phone,contact:website,opening_hours
Tasco O Varosa,40.9536540,-7.7923180,,,,
Tony,38.4432110,-9.1000109,,,,
Restaurante Tisaura,38.4483021,-9.1308072,Avenida 25 de Abril,,,
Triângolo,37.0935865,-8.6744648,,,,
Jardim das Oliveiras,37.3136109,-8.5654756,Sítio do Porto Escuro,,,
Adega Típica Pharmácia,40.2004817,-8.4191685,Rua do Brasil,,,"Mo-Su 12:00-15:00, 19:00-23:00"
O Gato do Rio,41.5671192,-8.3740231,,,,
Cantinho dos Grelhados,40.2006474,-8.4187669,Rua do Brasil,,,
Francesinhas & Cª,40.1998031,-8.4203618,,,,
Dom Duarte II,40.1990779,-8.4038291,,,,
Restaurante O Pentágono,40.1584779,-8.3355142,,,,
Restaurante a Mina,38.9541985,-8.9939849,,,,
O Jardim,37.1193986,-8.6481634,,,,
Dona Barca,37.1400333,-8.5325538,,,,
Mullen's,37.1004021,-8.6729630,Rua Cândido dos Reis,,,Mo-Su 12:00-00:00
Os Arcos,37.1016878,-8.6722925,,,,
Don Sebastião,37.1018703,-8.6723293,,,,
Saraiva,38.7318639,-9.1522811,,,,
Belo Monte,32.6756102,-16.9023582,,,,
Ponta Velha,32.7865457,-16.8530420,,,,
Vila do Peixe,32.6490861,-16.9747562,Rua Dr. Jaoa Abel Freitas,+351 291 099 909,,Mo-Su 11:00-23:00
Vila da Carne,32.6494493,-16.9754900,Rua Dr. Jaoa Abel Freitas,,,
Estrela do Mar,39.0050580,-9.4192335,,,,
Restaurante Pastelaria,32.6487598,-16.9040220,Rua Brigadeiro Oudinot,,,
Restaurante Mercado Velho,32.7178114,-16.7649892,,,,
,32.7177890,-16.7641630,,,,
Esplanada Alameda,32.6873268,-16.7915112,,,,
Praia das Palmeiras,32.6878906,-16.7901077,,,,
Taberna do Petisco,32.6880498,-16.7915473,,,,
Bom Jesus,32.6884733,-16.7921228,,,,
Lareira Portuguesa,32.6794750,-17.0878030,,,,
Brasa Brasil,32.6798092,-17.0878110,,,,
Lugar de Baixo,32.6798127,-17.0874366,,,,
Cantinho da Madalena,32.6997825,-17.1328738,,,,
A Poita,32.7033903,-17.1343623,Sitio dos Lombos - Madalena do Mar,,,"Mo-Su,PH 12:00-21:00+"
,41.2635556,-8.5629402,,,,
Galé,32.7883293,-16.8473009,,,,
Snack Bar Restaurante Boca Da Encumeada,32.7540599,-17.0192067,,+351 291 952 319,,Mo off; Tu-Su 07:30-20:00
Brisa Mar,32.8217439,-17.1035408,,,,
Sol Poente,32.6785530,-17.1042064,,,,"Mo-Su,PH 09:00-23:00"
Sun Point Cafe,32.6793905,-17.1047177,Avenida 1. de Maio,,,10:00-22:00
Grutas Do Faial,32.7861231,-16.8512607,,,,Mo-Su 09:00-24:00
Curtado,32.7958296,-16.8664785,,,,
César,38.9777819,-9.4195439,,,,
Ribamariscos,38.9997641,-9.4162480,EN 247,,,Tu-Fr 12:00-23:00; Sa 12:00-24:00; Su 12:00-18:00
Marisqueira Viveiros do Atlântico,39.0021853,-9.4180161,EN 247,,,We-Su 10:00-23:00
Marisqueira de Ribamar,39.0058471,-9.4203335,,,,
O Rochedo,39.0064808,-9.4186427,,,,
Terra Mar,39.0093887,-9.4148146,N247,,,Fr-Tu 12:00-22:30
Bom Amigo,39.0012645,-9.4159465,EN 247,,,12:00-15:00; 19:00-23:00
Golfinho Azul,39.0133902,-9.4211060,,,,"We-Su 12:00-15:00, 19:00-22:00"
,39.0027454,-9.4177249,,,,
,32.8102265,-17.0459798,,,,
Quebra Мar Restaurant,32.8086490,-17.0486939,,,,Mo 09:00-18:00; Tu-Su 09:00-22:00
Frente Mar,32.8083941,-17.0492092,,,,
Caravela,32.8083742,-17.0492884,,,,
Praia Mar,32.8082190,-17.0500582,,,,
Xapa Gril,32.8082301,-17.0498812,,,,
Orca,32.8680899,-17.1704642,,,,
Atlântico,32.8660856,-17.1669501,,,,
Hortelã da Ribeira,38.3714220,-8.5086536,,,,
The Great American Disaster,38.7243442,-9.1500561,,,,
Fonte do Vale,37.3042885,-8.8512251,,,,
Hugo's Bar,37.3043553,-8.8505881,,,,
Tia Iva,40.6599584,-7.9126462,,,,
Hard Rock Cafe Lisboa,38.7166133,-9.1417570,Praça dos Restauradores,,,
Sol - Area Serviço de Lousada,41.3022093,-8.2621247,,,,
,41.4542404,-8.0535059,,,,
A Brasa Churrasqueira,41.7371721,-7.8699673,,,,
Pizza Hut,38.7305751,-9.1470320,,,,
Gioia Food Lab,38.7181699,-9.1455694,,,,
Casa Velha,41.5532584,-8.3741285,,,,
O Paulo,41.5530500,-8.3743482,,,,
Central Bom Jesus,41.5529553,-8.3739397,,,,
Águeda,41.5524800,-8.3736650,,,,
Scala,41.1607731,-8.5922552,,,,
Vitória,41.1608230,-8.5917705,,,,
Barrigas,41.1590503,-8.5975147,,,,
Al Forno,41.1662630,-8.5932339,,,,
Cidade,41.1656169,-8.5982894,Rua de Costa Cabral,,,
Mamma Mia,37.1035795,-8.6729679,Rua Portas de Portugal,+351 282 762 231,,Mo-Su 10:00-22:00
Restaurante Dos Artistos,37.1007824,-8.6731119,,,,"Mo-Sa 11:00-14:00, 18:00-24:00"
Quinta das Raparigas,41.2260793,-8.6334459,,,,
Casa do Outeirinho,41.4312350,-8.5498357,,,,
Pizzaria Tomate,41.0085694,-8.6303451,Rua 19,,,12:00-23:30
Angra,38.8129055,-9.4777754,,,,
Fiado,40.0667402,-7.8002905,,,,
Mar & Sol,39.4143873,-9.5062166,,,,
