name,@lat,@lon,addr:street,contact:phone,contact:website,opening_hours
Central Restaurant,51.6020306,-0.1935029,,,,
The Birdham,50.6858572,-1.0834121,Steyne Road,+44 1983 872 840,http://www.thespinnakeriow.co.uk/,
Bellini's,52.1602045,-0.4921953,High Street,,,
Pizza Hut,52.1331138,-0.4444549,Newnham Avenue,,,
Panama Hatty's,53.1066238,-2.6622214,Whitchurch Road,,,
Diya Royal,52.1195671,-0.4930114,Bedford Road,,,
Purple Peacock,54.9714751,-1.6085780,Pilgrim Street,,,"Su-Th 12:00-22:00, Fr-Sa 12:00-01:00"
Dabbawal,54.9918578,-1.6086232,Brentwood Mews,,,
Ocean Deck,50.6551634,-1.1512500,High Street,+44 1983 403960,http://www.oceandecksandown.co.uk/,"Tu,We,Th,Su 11:00-22:30; Fr,Sa 11:00-23:00"
Bengal Palace,50.6907616,-1.2885584,Shide Road,,,
The Lakeside,50.6533199,-1.2770359,Main Road,,,
Bourne Hall Country House Restaurant,50.6205720,-1.1777261,Luccombe Road,,,
Pavarotti's,50.6257396,-1.1785555,High Street,,,
The Monkey House,50.7668713,-1.5525458,Southampton Road,,,
Toby Carvery,52.1431164,-0.4267529,Goldington Road,,https://www.tobycarvery.co.uk/restaurants/east-of-england/goldingtonbedford,
The Bombay,51.9105991,-0.2075244,High Street,,,
,51.5997963,-0.6697627,,,,
Chilli Bar & Kitchen,51.7505789,-0.3387918,London Road,,,"Su-Th 17:30-23:00, Fr,Sa 17:30-12:00"
Miller & Carter Steakhouse,51.5231100,-0.6907421,Bath Road,,,Mo-Su 12:00-23:00
Tamarind,52.2032070,0.1902903,High Street,,http://www.tamarind-cambridge.co.uk/,
,53.2296624,-0.5467800,,,,
Browns Pie Shop,53.2342290,-0.5388918,Steep Hill,,,
The Pearl,51.8368880,-1.5297067,,,,
Caffe Mocha,52.6796604,-1.1238185,,,,
Hobbs Pavilion,52.2026159,0.1261288,Park Terrace,,,
Midsummer House,52.2120978,0.1283686,Victoria Avenue,,,"We-Sa 12:00-13:30, Tu-Th 19:00-20:30, Fr,Sa 18:30-21:30"
Thrive,52.2049750,0.1343520,Norfolk Street,,,"Mo-We,Fr,Sa 08:00-20:00; Th 08:00-18:00; Su 10:00-18:00"
Namaste Village,52.2121304,0.1130194,Castle Street,,,"Mo off; Tu-Th 12:00-14:30,17:00-22:00; Fr-Su 12:00-14:30,17:00-22:30"
Dexter Burger @ The Pendleton,51.2284526,-0.1783570,Pendleton Road,,,
Bombay Bistro,51.9892890,-0.1888617,Bell Row,,,
